Week,Days,Milestone,Task,Status,Notes
Week 1,Day 1-2,Foundation and Shared Backend Architecture,Database schema modelling for Clients/Projects/Experts/ProjectExpertAllocation,Completed (partial),"Added client_solution_owner_ids, sales_team_ids to Clients/Projects/Users; Engagement schema present (model + page); base schemas exist"
Week 1,Day 1-2,Foundation and Shared Backend Architecture,Execute database migrations,Completed,"Created migration 016 for Projects/Users new ID lists; Clients migration 015 already present"
Week 1,Day 3-4,Backend API (Clients),Develop API routes for Client management operations,Completed,"Create/Update now handle client_solution_owner_ids/sales_team_ids/expert_ids with CSV storage; robust parsing; lookups include hasamex users and expert owner map"
Week 1,Day 3-4,Backend API (Clients),Implement eager-loading optimizations,Pending,"Optimization step planned; base queries stable"
Week 1,Day 5,Backend API (Projects),Develop API routes for Project mapping (/api/projects/:id/experts),Completed,"ProjectExpert endpoints and Calls endpoints implemented; Projects create/update support solution/sales lists"
Week 2,Day 6-7,Client Management Frontend,Scaffold app layout & routing,Completed,"App layout, router, protected route configured; Clients/Users/Projects sections"
Week 2,Day 8-9,Client Views,Implement client list, creation and edit,Completed,"ClientCreatePage, ClientEditPage, clients table implemented; primary contact selection; CSV fields surfaced"
Week 2,Day 8-9,Client Views,Add professional Client Details page,Completed,"ClientDetails.jsx with sectioned details; bold labels; navigation wired from table"
Week 2,Day 8-9,Client Views,Client table UX improvements,Completed,"Client name links to details; expandable row shows associated users with compact spacing; links to User details"
Week 2,Day 10,Project Views,Implement project list, creation and edit,Completed,"ProjectsPage, ProjectCreatePage (required fields), ProjectEditPage (required fields)"
Week 2,Day 10,Project Views,Add modern Project Details page,Completed,"Gradient header; resume-style sections; chips for geographies, solution owners, sales team; dates card"
Week 2,Day 10,Project Views,Improve ProjectsTable UX,Completed,"Project Title as first column; links to details; removed dropdown view"
Week 3,Day 11-12,Expert Mapping,Create Expert Allocation Modal,Pending,"Planned modal for selecting experts and mapping to projects"
Week 3,Day 13,Project Visualization,Aggregate team visualization for projects,Pending,"To implement after allocations"
Week 3,Day 14-15,Expert Management,Add Allocations Tab to expert profile,Pending,"To implement; backend relations ready"
Week 4,Day 16-17,UI/UX Polish,Refine shared components and visuals,In Progress,"Details pages restyled; compact nested lists; typography and spacing improvements ongoing"
Week 4,Day 18-19,Testing & QA,Validation workflows and caching checks,Pending,"To schedule comprehensive tests and QA passes"
Week 4,Day 20,Release,Staging deployment and documentation,Pending,"Will prepare deployment and handover docs"
Additions,N/A,Authentication,OTP-based login,Completed,"HasamexOTP model available; login flow updated to support OTP-based authentication"
Additions,N/A,Engagements,Engagement page and schema,Completed,"Engagement model and EngagementEditPage present; endpoints available"
Additions,N/A,Users Enhancements,Users schema & views updates,Completed,"Added client_solution_owner_ids and sales_team_ids to Users; UserCreate/Edit; UserDetails page; table shows solution/sales columns"
Additions,N/A,Clients Enhancements,Clients solution & sales fields surfaced,Completed,"Fields exposed in details and table; consistent CSV handling in backend"
